x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,centroid_x_norm,centroid_y_norm,left_x_norm,left_y_norm,right_x_norm,right_y_norm
-0.223388,2.075766,5.57593070316509,5.7270002542104255,-5.8822299915460325,-1.4870245235524768,0.3150016241035168,0.8314893263416128,0.3195683964221935,0.8332790447316987,0.31054547256477594,0.8297429602428964
-2.88667,6.305903,2.9090012590615957,9.95354589053731,-8.551160031673373,2.740822119981569,0.3129043773169603,0.8335628043642164,0.31746827739363437,0.8353507623825583,0.3084437781327927,0.8318153156059275
-5.548591,10.536881,0.24398656448946987,14.180051893517517,-11.218426529292778,6.970907210027716,0.31080820227304184,0.8356366946181536,0.3153696661672163,0.8374224606064177,0.30634339368569996,0.8338887681839299
-8.209217,14.768659,-2.418944947774718,18.407981816296846,-13.885190656692249,11.201175426311732,0.3087130469989369,0.8377109770065343,0.3132726953781988,0.8394948567902744,0.304243404838596,0.835962310524564
-10.868613,19.001196,-5.081551542056344,22.636230481539762,-16.54982390449868,15.432649565020448,0.3066188603092882,0.839785631432468,0.3111759804513825,0.8415674092115043,0.30214509398893247,0.8380364439698468
-13.526846,23.234451,-7.743054329758745,26.865290422949997,-19.214085869039398,19.664223042010658,0.30452558944380403,0.8418606377990648,0.30908013473586304,0.8436403592943945,0.30004707551260223,0.8401106261075817
-16.183983,27.468382,-10.402672226525894,31.09564966871597,-21.876350530805276,23.89691844926427,0.3024331816421929,0.8439359755192664,0.3069857733098244,0.8457139462547728,0.29795062984637116,0.8421853581796908
-18.840089,31.702949,-13.06216395886462,35.32620474849758,-24.537529748040384,28.13016382277915,0.3003415857190975,0.8460116249863503,0.30489151123411445,0.8477876292067293,0.295855038931929,0.8442603598276921
-21.49523,35.938109,-15.720748815296574,39.5574448572404,-27.198536361590428,32.36338417900438,0.2982507497016933,0.8480875651230905,0.30279796329328823,0.8498616479379991,0.2937595839371995,0.8463353492130172
-24.149473,40.173823,-18.377646299391856,43.78986192929084,-29.857742660152176,36.597602440948,0.29616062082968875,0.8501637768129328,0.30070574410255707,0.8519362435790832,0.2916655466311803,0.8484108277398467
-26.802885,44.410049,-21.03461764319057,48.02235127145608,-32.5169106420231,40.831714895657235,0.2940711463427923,0.8522402394688188,0.29861346674974404,0.8540108746446688,0.28957153949829206,0.8504862544033499
-29.45553,48.646745,-23.690878777856373,52.25540088371044,-35.17440984058271,45.066741875842624,0.29198227584311365,0.8543169325036903,0.29652174866321296,0.8560857803367541,0.2874788464772543,0.8525621293380263
-32.107475,52.883872,-26.345649827706016,56.489503662263814,-37.83200131874376,49.301581192986966,0.28989395657036127,0.8563938368009932,0.2944312039693576,0.8581612022573148,0.2853860807890721,0.8546379122862752
-34.758786,57.121386,-29.00069206762464,60.72355455046264,-40.48805555167737,53.53724950647431,0.28780613655171067,0.8584709307933333,0.29234044572226214,0.8602365987428815,0.2832945256308351,0.8567141015820484
-37.409531,61.359249,-31.6552248007925,64.95804451596949,-43.14348898220721,57.77317944430504,0.28571876223940323,0.8605481958543242,0.29025008869493824,0.8623122104501179,0.2812034593340279,0.8587904191177169
-40.059773,65.597417,-34.308463465858296,69.19346033156467,-45.799211926228104,62.00879584249428,0.2836317840230157,0.8626256104165715,0.28816075070358893,0.8643882759794905,0.2791121650548895,0.8608665829662695
-42.709581,69.835851,-36.96217288896667,73.42870279282813,-48.45359730925638,66.24511950920365,0.28154514756732246,0.8647031553635215,0.28607104200579847,0.8664642565361077,0.2770219240609435,0.8629430934952566
-45.35902,74.074509,-39.61556943107,77.66425893032351,-51.10840651370817,70.48104900773758,0.2794588016869661,0.8667808101081155,0.2839815796914862,0.8685403908467934,0.27493134932159663,0.8650194108155957
-48.008155,78.313349,-42.267870264882006,81.90061706355077,-53.762008143414924,74.71760165014153,0.277372695196589,0.8688585540632954,0.281892980211336,0.8706169182701662,0.27284172550755686,0.8670960335811534
-50.657054,82.552332,-44.920839769859185,86.13667884509327,-56.41616559622802,78.95367744278116,0.2752867745484328,0.8709363681125071,0.27980385417468434,0.8726933004314105,0.27075166400114214,0.8691724226101899
-53.305783,86.791415,-47.573695284578775,90.3729302411678,-59.06924921009063,83.19029389051985,0.273200987769673,0.8730142311785241,0.27771481790160313,0.874769775535641,0.2686624481075045,0.8712490766510843
-55.954407,91.030557,-50.225653335421526,94.60985950895041,-61.72302023855852,87.42635038773048,0.27111528367495213,0.8750921231644565,0.27562648835174225,0.8768465829109277,0.26657269089752417,0.8733254562221179
-58.602993,95.269718,-52.87847725019659,98.8463671902691,-64.37584910502397,91.66286599434639,0.2690296095039787,0.8771700244635818,0.27353747696257574,0.8789231836379976,0.26448367560906466,0.8754020608339154
-61.251607,99.508857,-55.531385102756154,103.08294239997187,-67.02864948540031,95.89926919501731,0.26694391328392825,0.8792479149790099,0.27144839947517074,0.8809998174653242,0.26239468275246136,0.8774786103479094
-63.900315,103.747931,-58.18359453129209,107.32007154631897,-69.68233549483023,100.13498718679679,0.2648581430419762,0.8813257736335145,0.26935987197366246,0.883076722814698,0.26030499249217093,0.8795548239943944
-66.549183,107.9869,-60.831779306507606,111.55983422912311,-72.33442892064745,104.37156963644648,0.26277224680529815,0.8834035808203735,0.2672745137539815,0.8851549190395127,0.25821655633898,0.8816314613705118
-69.198278,112.225723,-63.47600702187279,115.80219037058833,-74.98584460132162,108.60844531709168,0.26068617181360265,0.8854813164426965,0.26519227158849795,0.887234386494913,0.25612865388774897,0.8837082424790956
