Point_ID,Year,Track,Session,Driver,Lap_Time,Time,Distance,X,Y,Speed,Throttle,Brake,nGear,RPM,DRS,X_norm,Y_norm
2018_Spa-Francorchamps_Q_VET_22,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:02.628000,202.7047292985071,-132.3,268.5,294.1333333333333,100.0,False,7,10980.566666666668,12,0.23956490216247747,0.9070440498381241
2018_Spa-Francorchamps_Q_VET_23,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:02.732000,211.24361111111114,-136.56648268729361,275.30287301514807,295.0,100.0,False,8,10695.0,12,0.23620713235087903,0.910381081632075
2018_Spa-Francorchamps_Q_VET_24,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:02.928000,227.40790416034835,-144.5,287.9,296.64016692480885,100.0,False,8,10677.778247289507,12,0.22996336508756987,0.9165603845776513
2018_Spa-Francorchamps_Q_VET_25,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:02.971000,230.96111111111114,-146.28725581386735,290.7292727713192,297.0,100.0,False,8,10674.0,12,0.22855677468107874,0.9179482354416361
2018_Spa-Francorchamps_Q_VET_26,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.172000,247.5994444444445,-154.86630742395548,304.3096373820119,298.0,100.0,False,8,10704.0,12,0.22180496467273395,0.9246098486127793
2018_Spa-Francorchamps_Q_VET_27,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.228000,252.2518070076929,-157.3,308.2,298.0,100.0,False,8,10706.1,12,0.21988962127127334,0.9265181987638575
2018_Spa-Francorchamps_Q_VET_28,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.412000,267.4661111111111,-165.39934519466658,321.2956499949213,298.0,100.0,True,8,10713.0,8,0.2135153456016778,0.9329420435568142
2018_Spa-Francorchamps_Q_VET_29,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.528000,276.8098762934488,-170.5,329.5,289.78333333333336,54.56666666666666,True,8,10295.883333333333,8,0.20950107296071757,0.936966545668596
2018_Spa-Francorchamps_Q_VET_30,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.652000,286.19944444444445,-175.8944682024891,338.04240552376143,281.0,6.0,True,8,9850.0,8,0.2052555658750119,0.9411568750729723
2018_Spa-Francorchamps_Q_VET_31,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.828000,297.82912437585685,-182.8,348.9,245.8,5.266666666666667,True,8,9146.0,8,0.19982083476224516,0.9464828804081232
2018_Spa-Francorchamps_Q_VET_32,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:03.892000,301.73277777777776,-184.84569524834046,352.15093853422985,233.0,5.0,True,8,8890.0,8,0.19821084961708915,0.9480775721251005
2018_Spa-Francorchamps_Q_VET_33,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.128000,314.9308215819319,-192.3,364.1,201.53333333333333,4.016666666666667,True,8,8834.933333333332,8,0.19234422802358758,0.9539389777298145
2018_Spa-Francorchamps_Q_VET_34,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.132000,315.13277777777773,-192.4742940865736,364.3777560769912,201.0,4.0,True,8,8834.0,8,0.19220705661914714,0.95407522617335
2018_Spa-Francorchamps_Q_VET_35,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.372000,325.9994444444444,-205.355677698762,384.82167649416175,163.0,4.0,True,8,8974.0,8,0.1820692629856607,0.9641036380330431
2018_Spa-Francorchamps_Q_VET_36,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.428000,328.3264944849608,-207.8,388.7,158.56666666666666,4.233333333333333,True,8,8945.066666666668,8,0.18014555387104103,0.9660060826057099
2018_Spa-Francorchamps_Q_VET_37,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.612000,335.59944444444443,-212.61301449704374,396.3589378478249,144.0,5.0,True,7,8850.0,8,0.1763576573845301,0.9697630422092736
2018_Spa-Francorchamps_Q_VET_38,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.728000,339.94838053184174,-214.7,399.7,137.71666666666667,4.033333333333333,True,7,8880.933333333332,8,0.1747151763450687,0.9714019425095655
2018_Spa-Francorchamps_Q_VET_39,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:04.852000,344.3327777777778,-217.0989618616058,403.5503324617789,131.0,3.0,True,4,8914.0,8,0.1728271664060935,0.973290656559295
2018_Spa-Francorchamps_Q_VET_40,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:05.028000,349.9797385710432,-220.5,409.0,118.53333333333333,3.7333333333333334,True,4,8394.066666666668,8,0.17015051117830934,0.975963896791916
2018_Spa-Francorchamps_Q_VET_41,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:05.092000,351.93277777777774,-221.62055090024086,410.78299426464685,114.0,4.0,True,3,8205.0,8,0.1692686250297041,0.9768385138156808
2018_Spa-Francorchamps_Q_VET_42,2018,Spa-Francorchamps,Q,VET,00:01:41.501000,0 days 00:00:05.328000,358.8213255317536,-225.3,416.6,105.15,5.966666666666667,True,3,7611.066666666667,8,0.16637285724719814,0.9796919454527616
