x_m,y_m,left_x_m,left_y_m,right_x_m,right_y_m,centroid_x_norm,centroid_y_norm,left_x_norm,left_y_norm,right_x_norm,right_y_norm
0.0,0.0,0.7000125546682096,0.848517780194904,-0.7000125546682096,-0.848517780194904,0.4445131387160211,0.1088070906555021,0.4515984477060868,0.11643124841205671,0.43742782972595534,0.10118293289894752
-0.354746831721641,0.2926600263778547,0.3452137064095053,1.141220716640582,-1.0547073698527873,-0.5559006638848725,0.4409225018063931,0.11143671876963505,0.4480072843012763,0.1190612620845528,0.43383771931150983,0.10381217545471731
-0.7095285239830807,0.5852757182433554,-0.009665387501094469,1.4339167437621532,-1.409391660465067,-0.2633653072754424,0.437331512049242,0.1140659485263922,0.44441530867497786,0.12169121367493556,0.43024771542350615,0.1064406833778488
-1.0643405697488293,0.8778526863957795,-0.36456132500747185,1.72656288936804,-1.7641198144901868,0.029142483423519105,0.4337402150633769,0.11669483034029614,0.44082316256305054,0.12432071706664344,0.4266572675637033,0.10906894361394884
-1.4191782780227675,1.1703967255950405,-0.7194692806682823,2.0191648441181043,-2.1188872753772525,0.32162860707197694,0.43014865832959903,0.11932341627880474,0.43723089480710825,0.1269498233917676,0.42306642185208987,0.11169700916584188
-1.774037141769414,1.4629136306010548,-1.0743849294906602,2.311728558517291,-2.473689354048168,0.6140987026848185,0.42655688746671744,0.12195175840937586,0.4336385491833814,0.1295785861171764,0.4194752257500534,0.11432493070157532
-2.1289125619729528,1.7554090122131043,-1.429303496618865,2.604259502979517,-2.8285216273270404,0.9065585214466916,0.4229649490245373,0.12457990714653215,0.43004617402147216,0.1322070543959927,0.4158837240276024,0.11695275989707163
-2.483799847637265,2.047888757171416,-1.7842202777241432,2.896763556750348,-3.183379417550387,1.1990139575924845,0.41937289048385984,0.12720791538419904,0.4264538169371305,0.13483528105480036,0.41229196403058915,0.11958054971359773
-2.8386944917268684,2.34035856825559,-2.139130895534704,3.1892465319367145,-3.538258087919033,1.4914706045744652,0.41578075746349413,0.1298358343633668,0.4228615222357379,0.13746331831692477,0.40869999269125035,0.12220835040980876
-3.1935918032456447,2.6328241482452244,-2.4940307123502485,3.4817141765205264,-3.893152894141041,1.7839341199699221,0.41218859744424136,0.13246371532502563,0.4192693368586518,0.140091217829511,0.40510785802983096,0.12483621282054025
-3.5484873671384065,2.9252911999199145,-2.8489151279553813,3.7741720408890393,-4.248059606321432,2.0764103589507896,0.4085964551139146,0.1350916095101658,0.4156773073678192,0.14271902946426357,0.4015156028600101,0.12746418955606806
-3.9033764004287255,3.2177656100198924,-3.203779305802394,4.06662596672787,-4.602973495055057,2.3689052533119144,0.40500437888431123,0.13771956981271277,0.4120854827172693,0.14534680571028025,0.3979232750513532,0.1300923339151453
-4.258254396081119,3.510253081324757,-3.5586189903432213,4.3590818620797265,-4.957889801819016,2.661424300569788,0.40141241437424013,0.14034764747365677,0.4084939059803337,0.1479745996528949,0.3943309227681467,0.13272069529441868
-4.6131166630994525,3.802759224633789,-3.913429415071942,4.6515452724383515,-5.312803911126963,2.9539731768292263,0.3978206090645028,0.1429758929075205,0.40490262540210037,0.15060246111984246,0.39073859272690525,0.13534932469519848
-4.967958786428571,4.095289926687216,-4.268206047534831,4.944021983587809,-5.66771152532231,3.2465578697866233,0.39422900764291197,0.14560435900822932,0.4013116868586538,0.15323044209793055,0.38714632842717006,0.13797827591852804
-5.32277598309202,4.387850890264642,-4.622944118908301,5.236517704670119,-6.022607847275739,3.5391840758591644,0.39063765852126503,0.14823309701677354,0.39772113861854075,0.15585859388531736,0.3835541784239895,0.1406076001482297
-5.677563746054321,4.680447910125971,-4.9776393528155145,5.529038414285244,-6.377488139293127,3.831857405966698,0.3870466073183712,0.15086215900061092,0.3941310239659151,0.15848697020131244,0.3799621906708273,0.1432373477999094
-6.032317568279987,4.9730865970704965,-5.332287018501571,5.8215895312887165,-6.732348118058404,4.1245836628522765,0.38345589965303933,0.15349159537426424,0.39054139078400424,0.1611156197357729,0.3763704085220745,0.1458675710127556
-6.387032666792571,5.26577283783844,-5.686882271862297,6.114176883372749,-7.087183061722845,4.4173687923041305,0.37986558393706693,0.15612145903165883,0.3869522881033213,0.16374459485206197,0.37277887977081264,0.14849832321125572
-6.741704534556595,5.558512335209401,-6.041424651597478,6.406809503377942,-7.4419844175157115,4.71021516704086,0.37627570578926295,0.15875180121378502,0.38336372059300333,0.16637397671265303,0.3691876909855226,0.15112962571491698
-7.096331148005099,5.851307572651915,-6.395923769709844,6.699499475719592,-7.796738526300354,5.003115669584237,0.3726862856915418,0.16138264423526752,0.37977559096335345,0.1690038738992291,0.3655969804197301,0.15376141457130593
-7.450916002390096,6.144154503032073,-6.750392178395901,6.992250235845622,-8.15143982638429,5.296058770218524,0.36909728826605137,0.16401395173153263,0.37618777216494925,0.17163431728020276,0.36200680436715355,0.15639358618286253
-7.805463144845501,6.437047883471861,-7.104835072233257,7.285057496546885,-8.506091217457746,5.589038270396837,0.3655086725489632,0.16664567659392807,0.3726002116198944,0.1742652683338604,0.35841713347803206,0.15902608485399572
-8.159976806465842,6.729982655053891,-7.459256601792223,7.577916139922936,-8.860697011139461,5.882049170184846,0.3619203957144566,0.1692777733667366,0.3690128673174093,0.17689668107450646,0.35482792411150393,0.16165886565896675
-8.51446112636535,7.022953758860775,-7.8136609028893895,7.870821110971969,-9.215261349841308,6.175086406749582,0.3583324158677069,0.17191019659424112,0.3654256973960472,0.17952851008160625,0.3512391343393667,0.16429188310687595
